n_participants,means,sds,r,analysis,fpr_estimate,fpr_se,fpr_ci_lower,fpr_ci_upper
20,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_1trialtype,0.048,0.0067632641336666886,0.03474400229801329,0.06125599770198671
20,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes,0.2,0.01265543994336667,0.17519533771100135,0.22480466228899867
20,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes_blockorder,0.344,0.015029633724408947,0.31454191790015845,0.3734580820998415
20,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_1trialtype,0.105,0.009698921026024925,0.08599011478899114,0.12400988521100885
20,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes,0.327,0.014842213153411239,0.29790926221931396,0.35609073778068606
20,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes_blockorder,0.56,0.01570498795436181,0.5292182236094509,0.5907817763905492
20,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes,0.146,0.011171786285496497,0.12410329888042686,0.1678967011195731
20,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes_blockorder,0.297,0.014456832294801094,0.26866460870218983,0.32533539129781014
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_1,0.146,0.011171786285496497,0.12410329888042686,0.1678967011195731
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_10,0.482,0.015809045699406728,0.4510142704291628,0.5129857295708372
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_11,0.683,0.014721675438880233,0.6541455161397948,0.7118544838602053
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_12,0.146,0.011171786285496497,0.12410329888042686,0.1678967011195731
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_13,0.269,0.014029819522568196,0.24150155373576634,0.29649844626423366
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_14,0.454,0.015752210388771837,0.4231256676380072,0.48487433236199284
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_15,0.313,0.01467127282297788,0.28424430526696337,0.34175569473303663
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_16,0.535,0.015780495050030152,0.5040702297019409,0.5659297702980591
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_17,0.747,0.013754278613587079,0.7200416139173693,0.7739583860826307
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_18,0.755,0.013607356839598125,0.7283295805943877,0.7816704194056123
