n_participants,means,sds,r,analysis,fpr_estimate,fpr_se,fpr_ci_lower,fpr_ci_upper
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_2,0.269,0.014029819522568196,0.24150155373576634,0.29649844626423366
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_3,0.426,0.015645087688113797,0.39533562813129697,0.456664371868703
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_7,0.048,0.0067632641336666886,0.03474400229801329,0.06125599770198671
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_8,0.121,0.01031821038094612,0.10077630765334561,0.14122369234665438
20,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_9,0.297,0.014456832294801094,0.26866460870218983,0.32533539129781014
40,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_1trialtype,0.051,0.006960420062571415,0.037357576677360026,0.06464242332263997
40,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes,0.199,0.012631649083099177,0.1742419677971256,0.2237580322028744
40,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes_blockorder,0.343,0.015019206922356951,0.3135623544321804,0.37243764556781966
40,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_1trialtype,0.105,0.009698921026024937,0.08599011478899113,0.12400988521100886
40,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes,0.352,0.015110404505648664,0.3223836071689286,0.38161639283107135
40,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes_blockorder,0.57,0.015663503610155283,0.5392995329240956,0.6007004670759043
40,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes,0.163,0.011686212712746846,0.1400950230830162,0.18590497691698382
40,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes_blockorder,0.304,0.014553205687950453,0.2754757168516171,0.3325242831483829
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_1,0.163,0.011686212712746846,0.1400950230830162,0.18590497691698382
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_10,0.472,0.015794475789511476,0.44104282745255746,0.5029571725474424
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_11,0.688,0.014658474370509008,0.6592693902338023,0.7167306097661976
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_12,0.163,0.011686212712746846,0.1400950230830162,0.18590497691698382
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_13,0.262,0.013912208651021352,0.23473207104399815,0.28926792895600184
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_14,0.46,0.015768596914394382,0.42909355004778704,0.490906449952213
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_15,0.311,0.014645596385722688,0.2822946310839835,0.3397053689160165
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_16,0.512,0.01581474331458182,0.48100310310341965,0.5429968968965804
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_17,0.742,0.013842963108656604,0.714867792307033,0.769132207692967
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_18,0.751,0.013681600278702298,0.7241840634537435,0.7778159365462565
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_2,0.262,0.013912208651021352,0.23473207104399815,0.28926792895600184
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_3,0.426,0.015645087688113797,0.39533562813129697,0.456664371868703
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_7,0.051,0.006960420062571415,0.037357576677360026,0.06464242332263997
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_8,0.124,0.010427498872343968,0.10356210221020581,0.14443789778979418
40,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_9,0.304,0.014553205687950453,0.2754757168516171,0.3325242831483829
60,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_1trialtype,0.033,0.0056518088204523705,0.021922454711913356,0.04407754528808665
60,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes,0.157,0.011510146979230189,0.13444011192070882,0.17955988807929119
60,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes_blockorder,0.312,0.014658474370509015,0.2832693902338023,0.3407306097661977
60,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_1trialtype,0.096,0.009320454434783215,0.07773190930782489,0.11426809069217511
60,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes,0.308,0.014606483127342758,0.2793712930704082,0.3366287069295918
60,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes_blockorder,0.523,0.015802554246726098,0.4920269936764169,0.5539730063235832
60,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes,0.122,0.01035486471293672,0.10170446516264403,0.14229553483735596
60,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes_blockorder,0.29,0.01435639599990569,0.2618614638401848,0.31813853615981513
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_1,0.122,0.01035486471293672,0.10170446516264403,0.14229553483735596
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_10,0.442,0.01571250721186421,0.41120348586474614,0.47279651413525386
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_11,0.64,0.015186527932040127,0.6102344052532014,0.6697655947467986
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_12,0.122,0.01035486471293672,0.10170446516264403,0.14229553483735596
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_13,0.222,0.013148721948877366,0.19622850498020036,0.24777149501979964
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_14,0.395,0.015466551464829347,0.3646855591289345,0.4253144408710655
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_15,0.293,0.014399942998441275,0.2647761117230551,0.32122388827694487
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_16,0.473,0.01579621855130262,0.4420394116394468,0.5039605883605531
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_17,0.688,0.014658474370509,0.6592693902338023,0.7167306097661976
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_18,0.7,0.014498627873361427,0.6715826893682115,0.7284173106317884
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_2,0.222,0.013148721948877366,0.19622850498020036,0.24777149501979964
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_3,0.369,0.01526669813915462,0.33907727164725693,0.39892272835274306
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_7,0.033,0.0056518088204523705,0.021922454711913356,0.04407754528808665
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_8,0.11,0.009899393819724432,0.09059718811334011,0.1294028118866599
60,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_9,0.29,0.01435639599990569,0.2618614638401848,0.31813853615981513
80,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_1trialtype,0.054,0.007150883521295446,0.039984268298260926,0.06801573170173908
80,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes,0.175,0.012021627157731975,0.15143761077084533,0.19856238922915465
80,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes_blockorder,0.326,0.014830507204541033,0.2969322058790996,0.35506779412090045
80,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_1trialtype,0.093,0.00918887563499668,0.07498980375540651,0.11101019624459349
80,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes,0.31,0.014632638658632893,0.28132002822907953,0.33867997177092046
80,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes_blockorder,0.537,0.01577592722726242,0.5060791826345656,0.5679208173654344
80,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes,0.143,0.011075814808567038,0.1212914029752086,0.16470859702479138
80,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes_blockorder,0.305,0.014566646394664385,0.2764493730664578,0.3335506269335422
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_1,0.143,0.011075814808567038,0.1212914029752086,0.16470859702479138
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_10,0.476,0.015801065586651758,0.4450299114501625,0.5069700885498374
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_11,0.655,0.015039986742055233,0.6255216259855718,0.6844783740144282
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_12,0.143,0.011075814808567038,0.1212914029752086,0.16470859702479138
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_13,0.236,0.01343445140243868,0.20966847525122018,0.2623315247487798
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_14,0.396,0.015473313265859405,0.3656723059989156,0.42632769400108445
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_15,0.308,0.01460648312734276,0.2793712930704082,0.3366287069295918
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_16,0.5,0.015819299929208316,0.4689941721387517,0.5310058278612483
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_17,0.696,0.014553205687950427,0.6674757168516171,0.7245242831483828
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_18,0.701,0.014484778521220478,0.6726098340984078,0.7293901659015921
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_2,0.236,0.01343445140243868,0.20966847525122018,0.2623315247487798
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_3,0.379,0.01534909100222535,0.3489157816356383,0.4090842183643617
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_7,0.054,0.007150883521295446,0.039984268298260926,0.06801573170173908
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_8,0.108,0.0098200016513457,0.08875279676336242,0.12724720323663757
80,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_9,0.305,0.014566646394664385,0.2764493730664578,0.3335506269335422
500,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_1trialtype,0.044,0.006488921798427426,0.031281713275082244,0.05671828672491775
500,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes,0.168,0.011828605831454257,0.14481593257034966,0.19118406742965036
500,"0, 0, 0, 0","1, 1, 1, 1",0,results_indepttests_4trialtypes_blockorder,0.345,0.015039986742055237,0.3155216259855717,0.37447837401442824
500,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_1trialtype,0.087,0.008916866630745916,0.06952294140373799,0.104477058596262
500,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes,0.333,0.014910846164229842,0.3037747415181095,0.3622252584818905
500,"0, 0, 0, 0","1, 1, 1, 1",0,results_onesampttests_4trialtypes_blockorder,0.576,0.015635487471405182,0.5453544445560458,0.6066455554439542
500,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes,0.13,0.010640169792499389,0.1091452672067012,0.1508547327932988
500,"0, 0, 0, 0","1, 1, 1, 1",0,results_rmanova_4trialtypes_blockorder,0.275,0.014127086556490533,0.24731091034927857,0.30268908965072144
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_1,0.13,0.010640169792499389,0.1091452672067012,0.1508547327932988
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_10,0.455,0.015755101498347086,0.4241200010632397,0.4858799989367603
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_11,0.657,0.015019206922356953,0.6275623544321804,0.6864376455678196
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_12,0.13,0.010640169792499389,0.1091452672067012,0.1508547327932988
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_13,0.226,0.013232501619085337,0.20006429682659274,0.25193570317340724
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_14,0.406,0.0155372264386346,0.3755470361802762,0.43645296381972387
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_15,0.275,0.014127086556490533,0.24731091034927857,0.30268908965072144
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_16,0.487,0.015813952101896622,0.4560046538802826,0.5179953461197173
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_17,0.703,0.0144568322948011,0.6746646087021898,0.7313353912978101
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_18,0.707,0.014399942998441271,0.6787761117230551,0.7352238882769448
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_2,0.226,0.013232501619085337,0.20006429682659274,0.25193570317340724
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_3,0.391,0.015438826294681799,0.3607399004624237,0.4212600995375763
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_7,0.044,0.006488921798427426,0.031281713275082244,0.05671828672491775
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_8,0.101,0.009533618929340983,0.08231410689849168,0.11968589310150833
500,"0, 0, 0, 0","1, 1, 1, 1",0,simulation_9,0.275,0.014127086556490533,0.24731091034927857,0.30268908965072144
