unique_id,timepoint,domain,age,gender,block_order,met_performance_criteria_typical,met_performance_criteria_stricter,D_overall,D_tt1,D_tt2,D_tt3,D_tt4
chad friendenemy_103,1,Friend-Enemy,23,Male,consistent first,TRUE,TRUE,0.626782245466684,0.7499386629896487,0.763909685354328,0.05712596399178588,1.0655263274348592
chad friendenemy_104,1,Friend-Enemy,18,Male,consistent first,TRUE,TRUE,0.0563805257342783,-0.07469648544906324,0.22491668295428732,-0.5773323019317179,0.4099688446266303
chad friendenemy_105,1,Friend-Enemy,18,Female,consistent first,TRUE,TRUE,0.2754001489694342,-0.04321267047970257,0.8164018940761553,0.0698081745109919,0.4350235922173254
chad friendenemy_110,1,Friend-Enemy,19,Female,consistent first,FALSE,FALSE,0.5649375320528437,0.22860865754595308,0.913141214669753,0.19882958629433783,0.7195658516901245
chad friendenemy_111,1,Friend-Enemy,19,Male,consistent first,TRUE,TRUE,0.18002550661279784,0.6626594887204412,0.3243809182075073,-0.31661126578813875,-0.04318383660226416
chad friendenemy_112,1,Friend-Enemy,18,Female,consistent first,TRUE,TRUE,0.3701836214561757,0.7821846846802354,0.21081076859591963,-0.17941318159006298,0.5910460704190116
chad friendenemy_117,1,Friend-Enemy,19,Male,consistent first,TRUE,FALSE,-0.049461905160138576,0.13720368492002052,0.6109352297007454,-0.3617634365552664,-0.3760232278566508
chad friendenemy_118,1,Friend-Enemy,NA,NA,consistent first,TRUE,TRUE,0.03868312885383663,0.14911378025096783,0.6754057109206876,-0.6415281371964582,-0.06934322599091673
chad friendenemy_119,1,Friend-Enemy,NA,Female,consistent first,TRUE,TRUE,0.2526995652508166,-0.03409386930556205,0.3480952886271876,0.1052621090065615,0.5205151981344874
chad friendenemy_124,1,Friend-Enemy,18,Female,consistent first,TRUE,TRUE,0.1912132847660921,0.5819850014286108,-0.01552323546360282,-0.19347645307707165,0.3502488323097473
chad friendenemy_125,1,Friend-Enemy,19,Male,consistent first,TRUE,TRUE,0.29515664076674014,0.31792371831579375,0.8029547625303413,0.23921218659514573,-0.05463874222339888
chad friendenemy_126,1,Friend-Enemy,18,Female,consistent first,TRUE,TRUE,0.4786259851210175,0.6061512612423641,0.6327825264430774,0.4614533164925821,0.10738127596338232
chad friendenemy_131,1,Friend-Enemy,18,Female,consistent first,TRUE,TRUE,0.2612503099805762,-0.05558819072200001,0.7527285873509545,0.3041874073374699,0.15281108316503758
